,close,date
0,71.37999725341797,2005-12-19
1,99.66000366210938,2009-03-17
2,38.439998626708984,1999-02-22
3,43.0,1995-08-28
4,31.950000762939453,2004-08-24
5,27.690000534057617,1998-04-23
6,19.540000915527344,2002-06-13
7,32.560001373291016,1998-10-06
8,185.11000061035156,2018-06-29
9,113.98999786376953,2014-11-17
10,40.5,1995-05-08
11,312.79998779296875,2010-11-03
12,164.19000244140625,2008-08-06
13,108.86000061035156,2014-11-05
14,258.3599853515625,2010-05-13
15,109.36000061035156,2007-05-14
16,143.64999389648438,2017-04-28
17,25.81999969482422,2004-03-16
18,22.979999542236328,2004-02-10
19,22.739999771118164,2003-09-08
20,585.54248046875,2014-05-09
21,93.08989715576172,2014-07-17
22,172.5800018310547,2008-07-11
23,56.5,2000-07-13
24,164.60000610351562,2009-08-19
25,155.88999938964844,2008-04-07
26,23.010000228881836,2002-04-26
27,145.05999755859375,2017-07-10
28,188.75,2009-11-03
29,107.79000091552734,2016-11-10
30,27.25,1996-05-10
31,97.0,2007-01-10
32,20.1200008392334,2000-10-18
33,31.559999465942383,1996-01-04
34,62.439998626708984,2000-09-05
35,127.56999969482422,2007-08-21
36,190.0399932861328,2018-05-10
37,185.92999267578125,2007-10-24
38,17.790000915527344,2003-05-20
39,49.130001068115234,1995-06-22
40,15.1899995803833,1997-07-11
41,191.4499969482422,2018-07-17
42,251.97000122070312,2010-08-17
43,219.0800018310547,2010-03-08
44,125.66000366210938,2015-07-13
45,39.5,1995-12-05
46,172.8000030517578,2018-04-05
47,21.940000534057617,1997-10-06
48,135.02000427246094,2017-02-14
49,23.760000228881836,2001-12-05
50,325.8999938964844,2011-06-10
51,115.0,2015-09-24
52,19.270000457763672,2003-07-02
53,113.94999694824219,2016-12-09
54,91.51000213623047,2009-02-02
55,567.9010009765625,2013-12-05
56,37.5,1998-08-27
57,63.650001525878906,2006-08-11
58,121.88999938964844,2007-06-27
59,63.290000915527344,2005-01-03
60,121.33000183105469,2007-06-04
61,125.0,2000-03-17
62,184.2899932861328,2007-11-29
63,24.030000686645508,2001-04-24
64,123.41999816894531,2009-04-17
65,202.47999572753906,2009-10-26
66,166.2899932861328,2008-07-21
67,17.25,1997-01-15
68,144.77000427246094,2017-04-04
69,24.100000381469727,2001-05-16
70,102.5199966430664,2016-03-14
71,65.58999633789062,2006-07-28
72,47.060001373291016,1995-07-20
73,53.61000061035156,2005-09-30
74,139.49000549316406,2009-06-02
75,29.5,1996-02-26
76,267.0400085449219,2010-09-13
77,40.560001373291016,1999-01-20
78,103.30000305175781,2014-09-02
79,101.0199966430664,2014-10-09
80,131.38999938964844,2015-05-21
81,105.26000213623047,2015-12-31
82,174.5399932861328,2017-12-19
83,599.4099731445312,2012-07-03
84,19.1200008392334,1997-04-08
85,20.25,2000-11-14
86,122.0,2015-11-04
87,110.1500015258789,2015-09-09
88,347.6000061035156,2011-05-09
89,15.430000305175781,2002-07-30
90,110.19000244140625,2000-01-26
91,21.149999618530273,2003-12-29
92,21.440000534057617,2000-11-06
93,19.6200008392334,2000-10-11
94,35.25,1995-03-16
95,22.600000381469727,2003-10-27
96,21.530000686645508,1997-10-01
97,14.850000381469727,2003-02-19
98,87.72000122070312,2006-12-15
99,113.05000305175781,2016-09-30
100,88.30999755859375,1999-11-05
101,95.22000122070312,2016-05-20
102,61.380001068115234,1999-08-25
103,442.79998779296875,2013-02-25
104,126.5999984741211,2015-06-19
105,58.439998626708984,2000-09-11
106,116.94999694824219,2016-12-20
107,173.07000732421875,2017-11-28
108,27.110000610351562,2004-04-01
109,40.75,2005-07-14
110,169.39999389648438,2009-08-25
111,332.4200134277344,2011-04-14
112,40.0,1995-11-28
113,99.72000122070312,2009-02-06
114,348.4800109863281,2011-01-14
115,60.11000061035156,2005-11-09
116,571.530029296875,2012-06-14
117,159.63999938964844,2008-01-16
118,108.69999694824219,2014-11-06
119,15.75,1997-12-03
120,36.43000030517578,2005-05-02
121,260.09100341796875,2010-08-06
122,17.5,1997-01-07
123,128.77000427246094,2015-05-15
124,23.25,2002-01-25
125,408.42999267578125,2011-10-13
126,51.689998626708984,2000-06-23
127,36.310001373291016,1999-02-05
128,111.05999755859375,2016-11-08
129,54.45000076293945,2004-11-04
130,24.190000534057617,1996-10-10
131,46.630001068115234,1995-06-28
132,76.9800033569336,2006-09-29
133,17.110000610351562,2002-06-20
134,308.04998779296875,2010-10-26
135,22.850000381469727,2004-01-15
136,283.75,2010-09-30
137,16.6200008392334,1997-02-24
138,21.0,1996-08-05
139,14.930000305175781,2002-09-25
140,44.380001068115234,1995-08-02
141,51.689998626708984,2000-08-22
142,18.90999984741211,1998-01-21
143,33.18000030517578,2004-06-24
144,22.059999465942383,2000-10-05
145,95.55000305175781,2016-06-22
146,136.99000549316406,2017-02-28
147,321.6700134277344,2010-12-13
148,18.670000076293945,2001-10-26
149,145.8300018310547,2017-06-28
150,179.97000122070312,2018-03-13
151,99.30999755859375,1999-12-27
152,37.529998779296875,2004-09-27
153,76.37000274658203,1999-09-07
154,20.3799991607666,2003-08-05
155,23.0,1996-12-26
156,118.27999877929688,2015-12-07
157,74.22000122070312,2006-10-06
158,46.099998474121094,2005-08-12
159,169.9600067138672,2007-11-13
160,108.9800033569336,2015-12-17
161,123.87000274658203,2000-04-17
162,22.780000686645508,2001-12-06
163,215.0399932861328,2010-01-19
164,498.2200012207031,2013-09-06
165,53.310001373291016,1999-07-23
166,23.09000015258789,2003-10-30
167,176.94000244140625,2018-03-08
168,165.14999389648438,2008-07-18
